"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","uncertainty_z [nm]","detections"
596,24784.56568,20503.90835,117.889,178,114.6,4403,103,12.48,5.62,11.24,2
598,24127.21783,18357.20819,-232.218,116.9,208.9,4542,101,12.48,5.37,10.74,1
600,24121.93343,18370.10802,-254.047,117.1,217.8,4439,99,12.48,5.72,11.44,1
600,24767.79837,20501.00802,148.497,190.8,114.2,12664,111,12.48,3.28,6.56,4
606,24434.70315,18949.40752,83.6314,160,106.2,2266,113,12.48,6.82,13.64,1
607,25253.00854,20703.20744,83.6382,164.1,116.8,6279,109,12.48,3.96,7.92,2
618,24777.1432,19355.90653,-94.1555,123.9,166.5,4576,61,12.48,3.9,7.8,1
619,24959.03385,19541.30645,-11.7675,113,115.9,4938,65,12.48,3.05,6.1,2
620,24447.60534,18871.10637,47.5288,141.1,103.9,25804,115,12.48,1.44,2.88,5
620,25195.79659,20880.90637,71.8687,153.2,103.3,14186,113,12.48,2.4,4.8,5
622,24888.91887,19580.3062,-120.341,131.5,176.5,37380,95,12.48,1.66,3.32,9
627,24695.54449,19826.30579,-330.628,144.1,254.8,6411,99,12.48,5.57,11.14,1
627,25179.13027,20888.00579,104.369,171.2,111.7,7196,111,12.48,3.67,7.34,2
630,25203.51725,20952.20554,91.9078,170.8,127.6,13370,115,12.48,2.96,5.92,4
633,24710.07418,19896.70529,-336.204,130.3,257.8,38481,115,12.48,2.21,4.42,5
638,25151.99678,20889.20488,81.9766,159,105.3,31958,116,12.48,1.59,3.18,9
639,24724.7055,19862.70479,-299.966,125.5,239.4,6084,112,12.48,5.31,10.62,1
642,24760.06689,19829.60455,-306.186,124.4,242.2,28592,113,12.48,2.53,5.06,5
645,24772.86976,19665.5043,-69.0081,96.1,138.7,2432,80,12.48,4.83,9.66,1
648,24746.44923,19771.90405,-271.82,113.1,225.2,18800,125,12.48,2.77,5.54,3
648,23958.93298,17976.80405,-236.246,120.4,210.7,16975,104,12.48,2.7,5.4,3
650,24566.7935,19442.00388,72.6966,158.4,114.6,2973,99,12.48,5.44,10.88,1
652,24368.94868,18867.20372,50.2426,143.3,105.4,3161,114,12.48,4.68,9.36,1
652,24692.79568,19616.40372,-260.559,151.4,219.8,12631,110,12.48,3.56,7.12,2
654,24547.58743,19459.10355,161.346,196.5,114.8,3595,98,12.48,5.92,11.84,1
655,24654.28297,19671.60347,-75.1811,142,171,32181,123,12.48,1.57,3.14,3
661,24559.983,19413.10297,39.6941,132.7,97.5,2108,122,12.48,5.81,11.62,1
663,25075.67871,20398.40281,-60.1483,98.2,135.3,2950,127,12.48,4.62,9.24,1
664,24729.88266,19719.80272,-244.875,104.8,212.7,17482,132,12.48,2.95,5.9,4
667,24091.5366,18664.00248,-137.51,118.6,177.3,21054,130,12.48,2.15,4.3,4
668,24955.46713,19126.20239,-110.666,100.1,160.8,1881,127,12.48,8.1,16.2,1
670,25004.44514,20323.30223,-120.638,119.3,172.6,6559,112,12.48,3.46,6.92,1
671,24968.26999,19110.30215,-51.9807,98.5,130.5,3918,113,12.48,4.21,8.42,2
672,24091.23072,18684.90206,-112.512,107.5,165.1,35889,112,12.48,1.47,2.94,8
677,25093.45842,20803.10165,-73.7834,110.4,151.1,6812,99,12.48,3.25,6.5,2
681,24098.95159,18699.70132,-113.699,113.8,168.2,36119,104,12.48,1.59,3.18,10
686,25416.38902,22111.0009,-261.576,119.3,221.4,5442,100,12.48,5.02,10.04,1
